#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
16,briQle @UCrT0Q_oAAv5xbHB8LrUwz_g,5.5M,-,Germany,,1.6M,Ali Omar,5900000,685631331,858
17,Ali Omar @UCJhAZAK6t92znGV9tMuy7eQ,5.2M,-,Germany,,1.6M,Unique Vibes,5820000,3489792272,1179
18,Unique Vibes @UCn7Z0uhzGS1KjnO-sWml_dw,5.2M,-,Germany,,1.6M,laserluca,5110000,3318402475,3720
19,laserluca @UCmxc6kXbU1J-0pR2F3wIx9A,4.8M,1.8%,Germany,,1.4M,DW Documental,5410000,1274419271,618
20,DW Documental @UCQ1GpKa15ulyoQuxz7H4rng,4.6M,-,Germany,,1.4M,DW Documentary,5620000,836715674,1123
21,DW Documentary @UCW39zufHfsuGgpLviKh297Q,4.5M,-,Germany,Travel,1.4M,clips mix,4410000,2903147569,5634
22,clips mix @UCogFmwd_6QgQ4qZtU2gDDVQ,4.5M,-,Germany,,1.3M,DW News,5190000,2365305928,34696
23,DW News @UCknLrEdhRCp1aegoMqRaCZg,4.4M,-,Germany,,1.3M,Majestic Casual,4280000,2214189914,2436
24,Majestic Casual @UCXIyz409s7bNWVcM-vjfdVA,4.3M,-,Germany,,1.3M,ArkivaShqip,4510000,7462319450,8844
25,ArkivaShqip @UCUd0P7GJ_6UiLcIpfKH9sCQ,4.1M,-,Germany,,1.2M,Calisthenicmovement,4240000,529475476,352
26,Calisthenicmovement @UCZIIRX8rkNjVpP-oLMHpeDw,4.1M,-,Germany,,1.2M,Dagi Bee,3920000,1070814965,659
27,Dagi Bee @UCpZ_DI-ZugwMzXcqccaTVsg,4M,-,Germany,,1.2M,Free Documentary,4960000,1097781763,761
28,Free Documentary @UCijcd0GR0fkxCAZwkiuWqtQ,4M,-,Germany,,1.2M,ungespielt,3670000,2124853784,4899
29,ungespielt @UCcn4UOBvB0W2HjCcLFLuu2w,3.8M,0.1%,Germany,,1.1M,Jesus Motivation,3570000,0,1
30,Lous Reaction @UCmloGqUEraKu2IGQ2SXZ4Rg,3.8M,41%,Germany,,1.1M,DW हिन्दी,4100000,1008830773,6225
